681,C A SRI LANKA - MATARA                            ,041 2234800    ,0, ,3,NO 268 SAGARA BUILDINGS                           ,ANAGARIKA DHARMAPALA MAWATHA                      ,MATARA                                            ,0,                                                                      ,041 2234800    
682,C A SRI LANKA - RATHNAPURA                        ,045 2226760    ,0, ,3,CHAMBER OF COMMERCE BUILDING                      ,"NO 8/1, BANDARANAYAKE MW                          ",RATHNAPUARA                                       ,0,                                                                      ,045 2226760    
683,C A SRI LANKA - KANDY                             ,081 2222933    ,0, ,3,"NO 42/1/2,                                        ",A A DHARMASENA MAWATHA                            ,MIHIYAWA KANDY                                    ,0,                                                                      ,081 2222933    
684,C A SRI LANKA - KURUNEGALA                        ,037 2221708    ,0, ,3,"NO 26/1, KADURUGASHANDIYA                         ",BAUDDHALOKA MAWATHA                               ,KURUNEGALA                                        ,0,                                                                      ,037 2221708    
685,C A SRI LANKA - JAFFNA                            ,021 2221947    ,0, ,3,JAFFNA COLLEGE UNDER GRADUATE CENTRE              ,"NO 464, HOSPITAL ROAD                             ",JAFFNA                                            ,0,                                                                      ,021 2221947    
686,C A SRI LANAKA - ANURADHAPURA                     ,025 2226845    ,0, ,3,"NO 561/39,                                        ",PREEMA MAWATHA                                    ,ANURADHAPURA                                      ,0,                                                                      ,025 2226845    
687,SINGER SERVICE                                    ,               ,0, ,3,"NO 06,                                            ",DUDLY SENANAYAKE MAWATHA                          ,COLOMBO 07                                        ,0,MR. OSCAR AMARATUNGE                                                  ,               
688,GSI Application Development (Pvt) Ltd             ,011 4 379468   ,0, ,3,"NO 274,                                           ","Thimbirigasyaya Road,                             ",Colombo 05                                        ,0,Mr. David Dominic                                                     ,011 4 379468   
689,ALLIANCE FRANCAISE DE KOTTE LIMITED               ,0112 589814    ,0, ,3,"NO 18,                                            ",CONISTON PLACE                                    ,OFF TORRINGTON AVENUE                             ,0,                                                                      ,0112 589814    
690,DEPARTMENT OF SPORTS DEVELOPMENT                  ,               ,0, ,3,"NO 33,                                            ","TORINTON PLACE,                                   ",COLOMBO 07                                        ,0,                                                                      ,               
691,HUTCH - MONISH MOBILE                             ,               ,0, ,3,HATTON                                            ,                                                  ,                                                  ,0,                                                                      ,               
692,HUTCH - SUM UP COMMUNICATION                      ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
693,SUNSHINE HEALTHCARE LANKA LIMITED                 ,               ,0, ,3,KALUTARA                                          ,                                                  ,                                                  ,0,                                                                      ,               
694,VICTORY EXHIBITIONS AND CONVENTIONS (PVT) LTD     ,011 5232216    ,0, ,3,"NO 07, INDEPENDENCE AVENUE                        ",COLOMBO 07                                        ,                                                  ,0,B M W KANNAGARA                                                       ,011 5232216    
695,Richard Pieris Distributors Ltd                   ,               ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,                                                                      ,               
696,CEYLON INSTITUTE OF BUILDERS                      ,               ,0, ,3,"NO 48,                                            ","CSCT BUILDING, 2ND FLOOR                          ",PITAKOTTE                                         ,0,MR. ROHAN BALASOORIYA                                                 ,               
697,GEOMETRY GOBAL (PVT) LTD                          ,2697071-3      ,0, ,3,"NO 16,                                            ",BARNES PLACE                                      ,COLOMBO 07                                        ,0,MR. SANJEEWA PATHIRANA                                                ,2697071-3      
698,ACCESS INTERNATIONAL (PVT) LTD (Medical Division) ,2302302        ,0, ,3,"NO 278,                                           ",UNION PLACE                                       ,COLOMBO 02                                        ,0,Mr. Jeyapragasam                                                      ,2302302        
699,HEALTHGUARD PHARMACY                              ,               ,0, ,3,"130/6, SIRIWICKREMA MAWATHA                       ",COLOMBO 15                                        ,                                                  ,0,                                                                      ,               
700,TRIUMPH INTERNATIONAL LANAKA PVT LTD              ,               ,0, ,3,"NO 42,                                            ","ALFRED HOUSE GRADEN,                              ",COLOMBO 03                                        ,0,Mr. NAYANAKEERTHI                                                     ,               
701,INSTITUTE OF PERSONNEL MANAGEMENT SRI LANKA       ,               ,0, ,3,"NO 43,                                            ",VIJAYAKUMARATUNGA MAWATHA                         ,COLOMBO 05                                        ,0,                                                                      ,               
702,DIALOG AXIATA PLC                                 ,               ,0, ,3,CUSTOMER SERVICE                                  ,"141, STANLY ROAD                                  ",JAFFNA                                            ,0,                                                                      ,               
703,DIALOG AXIATA PLC                                 ,               ,0, ,3,REGIONAL OFFICE VAVUNIYA                          ,"NO 205, UKKULANLUMA                               ",VAVUNIYA                                          ,0,                                                                      ,               
704,NEW CITY MOBILE - HUTCH - MEDAWACHCHIYA           ,               ,0, ,3,NO 12                                             ,SHIPING COMPLEX                                   ,MEDAWACHCHIYA                                     ,0,                                                                      ,               
705,SRI LANKA ANTI NARCOTICS ASSOCIATION              ,2861743        ,0, ,3,NO 05                                             ,KIRIMANDALA MAWATHA                               ,NAWALA                                            ,0,ACCOUNTANT                                                            ,2861743        
706,OXLEY THREADS LANKA (PVT) LTD                     ,               ,0, ,3,"BLOCK C4,                                         ",SEETHAWAKA INDUSTRIAL PARK                        ,AVISSAWELLA                                       ,0,ACCOUNTANT                                                            ,               
707,OCYANA CONSULTANTS (PVT) LTD                      ,011355488      ,0, ,3,32/1 WIMALAVIHARA ROAD                            ,NAWALANO 2A LAKE DRIVE                            ,                                                  ,0,MRS SHIRANA IRSHAD                                                    ,011355488      
708,EMBASSY OF JAPAN                                  ,0112693831 - 3 ,0, ,3,"NO 20,                                            ","GREORYS ROAD,                                     ",COLOMBO 07                                        ,0,Mr. Akihisa Iwai                                                      ,0112693831 - 3 
709,THE CAPITOL RESIDENCIES MANAGEMENT CORPORATION    ,0112473722     ,0, ,3,NO 65                                             ,DHARMAPALA MAWATHA                                ,COLOMBO 07                                        ,0,MS. SHASHIKA FERNANDO                                                 ,0112473722     
710,DIALOG AXIATA PLC                                 ,               ,0, ,3,REGIONAL OFFICE MATARA                            ,NO 475                                            ,UNION COLOMBO 02                                  ,0,                                                                      ,               
711,SWISS LABOUR ASSISTANCE                           ,011 2370510    ,0, ,3,"NO 27, 2/4,                                       ",ALFRED PLACE                                      ,COLOMBO 03                                        ,0,MS. ANUJA                                                             ,011 2370510    
712,RAHRNA COMM                                       ,               ,0, ,3,COLOMBO ROAD                                      ,PERADENIYA                                        ,                                                  ,0,                                                                      ,               
713,Richard Pieris Distributors Ltd                   ,               ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,                                                                      ,               
714,Richard Pieris Distributors Ltd                   ,               ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,                                                                      ,               
715,Richard Pieris Distributors Ltd                   ,               ,0, ,3,No 310                                            ,High Level Road                                   ,Nawunna Maharagama                                ,0,                                                                      ,               
716,SERENDIB MDICALS (PVT) LTD                        ,               ,0, ,3,"NO 100,                                           ",GALLE ROAD                                        ,COLOMBO 04                                        ,0,                                                                      ,               
717,CIM SRI LANKA                                     ,               ,0, ,3,NO 20                                             ,DEAL PLACE  A                                     ,COLOMBO 03                                        ,0,                                                                      ,               
718,S & A  ASSOCIATES (CHARTED ACCOUNTS)              ,4343310        ,0, ,3,NO 894/4B                                         ,ATHURUGIRIYA ROAD                                 ,MALABE                                            ,0,                                                                      ,4343310        
719,DE ORO MADERA EXPORT                              ,               ,0, ,3,NO 44/6                                           ,NIKAPE                                            ,DEHIWALA                                          ,0,                                                                      ,               
720,MBSL  SAVING BANK LTD                             ,               ,0, ,3,"NO 02,                                            ",DEAL PLACE                                        ,COLOMBO 03                                        ,0,                                                                      ,               
721,SHADES OF WANAMAL (PVT) LTD                       ,4344557        ,0, ,3,"NO 07, 06 LANE                                    ",COLOMBO 03                                        ,                                                  ,0,                                                                      ,4344557        
722,ETEX TRADING                                      ,               ,0, ,3,"NO 215,                                           ",ANAGARIAKA DHARMAPALA MW                          ,KARAGAMPITIYA DEHIWALA                            ,0,MS. THARANGA DAMAYANTHI                                               ,               
723,THE PHONE ARCADE                                  ,               ,0, ,3,"NO 109,                                           ",MAIN STREET                                       ,KALUTARA SOUTH                                    ,0,                                                                      ,               
724,SOFT MOBILE (PVT) LTD                             ,               ,0, ,3,"NO 74/1,                                          ",STANLY THILAKARATHNE MW                           ,NUGEGODA                                          ,0,                                                                      ,               
725,DIALOG AXITA PLC                                  ,               ,0, ,3,REGIONAL OFFICE BATTICALOA                        ,"393, TRINCO ROAD                                  ",BATTICALOA                                        ,0,                                                                      ,               
726,PULSAR FREIGHT (PVT) LTD                          ,077767362      ,0, ,3,"390, AVISSAWELLA ROAD                             ",ORUGODAWATTE                                      ,WELLAMPITIYA                                      ,0,MR. KAPILA GUNAWARDANA                                                ,077767362      
727,SRI LANKA ACCUNTING & AUDITING                    ,               ,0, ,3,STANDARDS MONITORING BOARD                        ,"NO 293, GALLE ROAD                                ",COLOMBO 03                                        ,0,                                                                      ,               
728,IS HOLDINGS                                       ,               ,0, ,3,"NO 142/C, HIGH LEVEL ROAD                         ",PANNINIPITIYA                                     ,                                                  ,0,                                                                      ,               
729,NEW ZONE LANKA (PVT) LTD                          ,               ,0, ,3,NO 242/1/3                                        ,THALANGAMA NORTH                                  ,KOSWATHTHA                                        ,0,                                                                      ,               
730,3M LANKA (PVT) LTD                                ,2326990        ,0, ,3,NO 65C                                            ,DHARMAPALA MAWATHA                                ,COLOMBO 07                                        ,0,The Accountant                                                        ,2326990        
731,CASH SALES -POLLONNARUWA BRANCH                   ,               ,0, ,3,POLLONNARUWA                                      ,                                                  ,                                                  ,0,                                                                      ,               
732,CASH SALES - TRINCOMALEE                          ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
733,DIALOG AXIATA PLC                                 ,               ,0, ,3,MARKETING CHANNELS                                ,"778,TEMPLE JUNCTION, D.S SENANAYAKE MAWATHA       ",AMPARA                                            ,0,                                                                      ,               
734,KENT GALLERIES (PVT) LTD                          ,0112448844     ,0, ,3,"NO 192,                                           ","SIR JAMES PEIRIS MAWATHA,                         ",COLOMBO 02                                        ,0,                                                                      ,0112448844     
735,IML HO/BR (KEVILTON)                              ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
736,VERITE RESEARCH (PVT) LIMITED                     ,0718834945     ,0, ,3,"5, POLICE PARK PLACE                              ",COLOMBO 5                                         ,                                                  ,0,MS. Shehani Perera                                                    ,0718834945     
737,SAMIL EASYHOME                                    ,077 2066897    ,0, ,3,"No 55D,                                           ",Kosswatta Road                                    ,"Nawala, Rajagiriya                                ",0,Mr. Saman Fernando                                                    ,077 2066897    
738,STAR CELLULAR SERVICES                            ,081 5680544    ,0, ,3,"NO 129 3/2,                                       ",D.S. SENANAYAKE VEDEYA                            ,KANDY                                             ,0,                                                                      ,081 5680544    
739,CLEANCO LANKA (PVT) LTD                           ,               ,0, ,3,"NO 334,                                           ",T.B JAYA MAWATHA                                  ,COLOMBO 10                                        ,0,P .MR. K.K.P PRABATH                                                  ,               
740,HUTCH DEALER                                      ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
741,MOBI PC TECHCleanco Pvt Ltd                       ,               ,0, ,3,A-9 ROAD                                          ,KILLINOCHCHI                                      ,                                                  ,0,                                                                      ,               
742,BENHAM INTERNATIONAL PVT LTD                      ,               ,0, ,3,"NO 6 1/1,                                         ",VISHAKA ROAD                                      ,COLOMBO 04                                        ,0,MR. ASMER ABDUL AKBAR                                                 ,               
743,CARELANKA DISTRIBUTORS (PVT) LTD                  ,               ,0, ,3,NO 381/A                                          ,PEPILIYANDALA ROAD                                ,NEDIMAHALA DEHIWALA                               ,0,MR. M.I. SAFA ARAFATH                                                 ,               
744,HSBC CHEQUE DELIVERY                              ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
745,MOON LANKA MACHINORY                              ,               ,0, ,3,CITY CENTRE                                       ,"135/4B, D. B. WELAGEDARA                          ",KURUNEGALA                                        ,0,I. M. ISTHIHAR                                                        ,               
746,ICL MARKETING PVT LTD                             ,               ,0, ,3,"NO 330,                                           ",T.B. JAYA MAWATHA                                 ,COLOMBO 10                                        ,0,                                                                      ,               
747,SOFTCOM CELLULAR                                  ,               ,0, ,3,"NO 48,                                            ",HIGHLEVEL ROAD                                    ,HOMAGAMA                                          ,0,                                                                      ,               
748,LANKA COMMUNICATION SERVICES (PVT) LTD            ,               ,0, ,3,NO 65C1                                           ,DHARMAPALA MW                                     ,COLOMBO 01                                        ,0,                                                                      ,               
749,PC HOUSE PLC                                      ,               ,0, ,3,"NO 451,                                           ",GALLE ROAD                                        ,COLOMBO 03                                        ,0,                                                                      ,               
750,HELA CLOTHING PVT LTD                             ,               ,0, ,3,"NO 304, 1ST FLOOR                                 ",GRACELAND BUILDING                                ,NUGEMBO ROAD PELIYAGODA                           ,0,                                                                      ,               
751,TRANSMEC ENGINEERING PVT LTD                      ,               ,0, ,3,"NO 873,                                           ","WEDAMULA KANDY ROAD,                              ",KALANIYA                                          ,0,Mr. Suresh                                                            ,               
752,Cotton Collection(Received by Rizmi)              ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
753,FARZANA AND ZUHARA STORES                         ,               ,0, ,3,"NO 87, BONGSO BUILDING,                           ",BADULUPITIYA                                      ,BADULLA                                           ,0,                                                                      ,               
754,JAYAMPATHI LANKA EXPORT (PVT) LTD                 ,037-2224068/69 ,0, ,3,DAMBULLA ROAD                                     ,MUTTETTUGALA                                      ,KURUNEGALA                                        ,0,                                                                      ,037-2224068/69 
755,ROVICAN INTERNATIONAL (PVT) LTD                   ,               ,0, ,3,"NO 16/5C, 2/1                                     ",MOHIDEEN TERECE WARD PLACE                        ,COLOMBO 07                                        ,0,                                                                      ,               
756,Renuka Agri Foods PLS                             ,               ,0, ,3,"No 69,                                            ",Sri Jayarathna Road                               ,colombo 02                                        ,0,                                                                      ,               
757,PERFECT TECHNOLOGY                                ,               ,0, ,3,NO 07                                             ,U C SHOPPING COMPLEX                              ,NEGEMBO ROAD JAELA                                ,0,                                                                      ,               
758,FOUNDATION FOR INOVATIVE SOCIAL DELVELOPMENT LTD  ,2887666        ,0, ,3,"39/15, ANGAMPITIYA ROAD                           ",ETHUL KOTTE                                       ,                                                  ,0,                                                                      ,2887666        
759,G.T.I. INTERNATIONAL PVT LTD                      ,               ,0, ,3,"NO 110/1, SRI SARANAKARA ROAD                     ",KALUBOWILA                                        ,DEHIWALA                                          ,0,                                                                      ,               
760,DIALOG AXIATA PLC - SMB SALES                     ,               ,0, ,3,PREMIER PACIFIC PINNACLE BUILDING                 ,"NEW BUILDING , 475, UNION PLACE                   ",COLOMBO 02                                        ,0,                                                                      ,               
761,METROPOLITAN PVT LTD CUSTOMER CARE CENTRE         ,2303411        ,0, ,3,BRAYBROOKE PLACE                                  ,COLOMBO 2                                         ,                                                  ,0,MR.TARAKA                                                             ,2303411        
762,DIALOG AXITA PLC - MARKETING CHANNEL              ,               ,0, ,3,VAVUNIYA                                          ,                                                  ,                                                  ,0,                                                                      ,               
763,NORWOOD  FASHIONS (PVT) LTD                       ,               ,0, ,3,THALAWA ROAD                                      ,KUNCHIKULAMA                                      ,IPALOGAMA                                         ,0,MR. H. M. Y. MAFAS                                                    ,               
764,SOLEX OPTICALS                                    ,               ,0, ,3,"NO 97/54,                                         ",NICLUS MARCUS ROAD                                ,NEGEMBO                                           ,0,MR. NILAN FERNANDO                                                    ,               
765,RADIANT TEXTILE                                   ,               ,0, ,3,NO 424/59                                         ,UDUPILA NORTH                                     ,DELGODA                                           ,0,                                                                      ,               
766,THE COMPUTER CENTER (PVT) LTD                     ,               ,0, ,3,"1E, DE FONSEKA PLACE                              ",COLOMBO 04                                        ,                                                  ,0,MS. DINUSHIKA SOMARATHNA                                              ,               
767,SLASSOM (GURANTEE) LIMITED                        ,               ,0, ,3,"2ND FLOOR , MCLERENCE BUILDING                    ","123, BAUDHDHALOKA MAWATHA                         ",COLOMBO 04                                        ,0,                                                                      ,               
768,CONSULATE OF MADAGASCAR IN SRI LANKA              ,               ,0, ,3,"NO 50, SIR MARCUS FERNANDO MAWATHA                ",COLOMBO 07                                        ,                                                  ,0,MS. DAMMI JAYAWEERA                                                   ,               
769,"KEELLS HOTEL MANAGEMENT SERVICE LTD.,             ",               ,0, ,3,"130, GLENNIE STREET                               ",COLOMBO 2                                         ,                                                  ,0,                                                                      ,               
770,ALL CEYLON JAMIYYATHUL ULAMA                      ,               ,0, ,3,6B 1/1                                            ,ALFRED HOUSE ROAD                                 ,COLOMBO 03                                        ,0,                                                                      ,               
771,MAKEEN BOOKS (PVT) LTD                            ,               ,0, ,3,"NO 430,                                           ",GALLE ROAD                                        ,COLOMBO 03                                        ,0,MS. GEETHANI PERERA                                                   ,               
772,LAUGFS LUBRICANTS LTD                             ,               ,0, ,3,06TH FLOOR                                        ,"101, MAYA AVENUE                                  ",COLOMBO 06                                        ,0,                                                                      ,               
773,QUEEN BEE                                         ,               ,0, ,3,NO 304/11                                         ,SRI WIJAYA MAWATHA                                ,"MAPE NORTH, PILIYANDALA                           ",0,ME. POORNIMA                                                          ,               
774,CHINA MACHINERY ENGINEERING CORPORATION           ,               ,0, ,3,"LEVEL 25, EAST TOWER                              ",WORLD TRADE CENTER                                ,COLOMB0 01                                        ,0,MS SHASHIKA                                                           ,               
775,BMS COM                                           ,               ,0, ,3,"No 51,                                            ",Sub Post Office Road                              ,Akkarapattu                                       ,0,                                                                      ,               
776,TRIUMPH INTERNATIONAL LANKA (PVT) LTD             ,               ,0, ,3,NO 42                                             ,ALFRED HOUSE GARDEN                               ,COLOMBO 03                                        ,0,                                                                      ,               
777,MASCONS (PVT) LIMITED                             ,               ,0, ,3,"NO 175,                                           ",SRI SUMANATISSA MAWATHA                           ,COLOMBO 12                                        ,0,MR. R. VISWALINGAM - ADMINISTRATION OFFICER                           ,               
778,ABANS AUTO (PVT) LTD                              ,               ,0, ,3,"NO 212,                                           ",Negombo Road                                      ,Peliyagoda                                        ,0,Mr. Roshan Jayasinghe                                                 ,               
779,DTI                                               ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
780,LAKSARA APPEREL (PVT) LTD                         ,               ,0, ,3,ANURADHAPURA ROAD                                 ,AMBANPOLA                                         ,                                                  ,0,MR. LAKSHMAN                                                          ,               
781,THE TRAVALPORT PVT LTD                            ,               ,0, ,3,"NO 688, 1ST FLOOR                                 ",COLOMBO ROAD                                      ,KURUNEGALA                                        ,0,                                                                      ,               
782,THE SWADESHI INDUSTRIAL WORKS PLC                 ,               ,0, ,3,"No 57,                                            ",Colombo Road                                      ,Kadana                                            ,0,Ms. C. Samarasinghe                                                   ,               
783,SHA MARKETING                                     ,               ,0, ,3,NO 35                                             ,KURUNEGALA ROAD                                   ,PUTTALAM                                          ,0,                                                                      ,               
784,INDUSTRIAL CLOTHINGS LTD                          ,               ,0, ,3,PRIME POLYMERS DIVISION                           ,"D-17, SEETHAWAKA EPZ                              ",AVISSAWELLA                                       ,0,MR. SUDATH / SANJEEWA                                                 ,               
785,BISCHOFF GAMMA LANKA (PVT) LTD                    ,               ,0, ,3,LOT NO C 7A & C 7B                                ,SEETHAWAKA                                        ,AVISSAWELLA                                       ,0,MS NEROSHA / MR. NADUN                                                ,               
786,THE ASIAN ACADEMY OF PERFORMING ARTS              ,               ,0, ,3,"NO 475/6,                                         ","THIMBIRIGASYAYA ROAD,                             ",COLOMBO 05                                        ,0,                                                                      ,               
787,THE LCM CENTRES (PVT) LTD                         ,               ,0, ,3,NO 475/6                                          ,THIMBIRIGASYAYA ROAD                              ,COLOMBO 05                                        ,0,                                                                      ,               
788,IRIDIUM LANKA                                     ,               ,0, ,3,NO 605/A                                          ,SUDHARASHANA MW                                   ,KATUNAYAKE                                        ,0,MR. ARJUNA                                                            ,               
789,PRINTCARE PACKAGING (PVT) LTD                     ,               ,0, ,3,"NO 21, SRI PUSHMARAMA MAWATHA                     ",PAHALA BIYANWILA                                  ,KADAWATHA                                         ,0,MS. AVANTHI GUNAWARDANA                                               ,               
790,H. W. ASSOCIATE PVT LTD                           ,001 2804842    ,0, ,3,NO 27/10WIJERMA LANE                              ,GANGODAWILA                                       ,NUNEGODA                                          ,0,                                                                      ,001 2804842    
791,MOTIVE PUBLISHING COMPANY (PVT) LTD               ,               ,0, ,3,"NO 50/8A,                                         ",SIRIPA ROAD                                       ,"THIMBIRIGASYAYA ROAD, COLOMBO 05                  ",0,                                                                      ,               
792,ULTRAA ZONE                                       ,072 7834441    ,0, ,3,"NO 7A,                                            ",DHARMADUTHA ROAD                                  ,BADULLA                                           ,0,                                                                      ,072 7834441    
793,GT HODINGS (PVT) LTD                              ,               ,0, ,3,"NO 246/1/1,                                       ",GALLE ROAD                                        ,KALUTARA SOUTH                                    ,0,                                                                      ,               
794,SIAM CITY CEMENT LANKA  LTD                       ,0017389239     ,0, ,3,NO 413                                            ,R A De Mel Mawatha                                ,Colombo 03                                        ,0,The Accountant                                                        ,0017389239     
795,HECKFORT PRINTERS (PVT) LTD                       ,               ,0, ,3,"NO 52/27, PAPILIYANA ROAD                         ","RUBBERWATTE, NADIMALA                             ",DEHIWALA                                          ,0,MR. D.T.A.R.P. DISSANAYAKE                                            ,               
796,Head of Operations                                ,2429257        ,0, ,3,BUSINESS LANKA A N (PVT) LTD                      ,"No 35, D. R. Wijewardana mawatha                  ",Colombo 10                                        ,0,Ms.Ishara Wickramasinghe                                              ,2429257        
797,THE MADHATTER PVT LTD                             ,2939354        ,0, ,3,"NO 127/1,                                         ","PALLIYAWATTA,                                     ",HENDALA WATTALA                                   ,0,HR MANAGER                                                            ,2939354        
798,HUTCH                                             ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
799,CONSOLE ELECTRONICS (PVT) LTD                     ,               ,0, ,3,"9, DEWALA ROAD                                    ",PAGODA                                            ,NUGEGODA                                          ,0,MISS. DIANA ISAAC                                                     ,               
800,GP GARMENTS (PVT) LTD                             ,036 2232900    ,0, ,3,EPZ Seethawaka                                    ,Avissawella                                       ,                                                  ,0,Nisanasala Walpita                                                    ,036 2232900    
801,MINISTRY OF ENVIRONMENT & RENEWABLE ENERGY        ,               ,0, ,3,SAMPATH PAYA                                      ,BATTARAMULLA                                      ,                                                  ,0,SECRETARY                                                             ,               
802,DIALOG AXIATA PLC                                 ,               ,0, ,3,MAIN STORES - DIALOG AXIATA PLC                   ,"NO 277/1, DHARMAPALA MAWATHA                      ",COLOMBO 07                                        ,0,                                                                      ,               
803,DIALOG AXIATA PLC                                 ,               ,0, ,3,NO 475                                            ,UNION PLACE                                       ,COLOMBO 02                                        ,0,                                                                      ,               
804,RICHARD PIERIS DISTRIBUTORS LTD                   ,               ,0, ,3,NO 310                                            ,HIGH LEVEL ROAD                                   ,NAWINNA MAHARAGAMA                                ,0,                                                                      ,               
805,RICHARD PIERIS DISTRIBUTORS LTD                   ,               ,0, ,3,NO 310                                            ,HIGH LEVEL ROAD                                   ,NAWINNA MAHARAGAMA                                ,0,                                                                      ,               
806,RICHARD PIERIS DISTRIBUTORS LTD                   ,               ,0, ,3,NO 310                                            ,HIGH LEVEL ROAD                                   ,NAWINNA MAHARAGAMA                                ,0,                                                                      ,               
807,RICHARD PIERIS DISTRIBUTORS LTD                   ,               ,0, ,3,NO 310                                            ,HIGH LEVEL ROAD                                   ,NAWINNA MAHARAGAMA                                ,0,                                                                      ,               
808,RICHARD PIERIS DISTRIBUTORS LTD                   ,               ,0, ,3,NO 310                                            ,HIGH LEVEL ROAD                                   ,NAWINNA MAHARAGAMA                                ,0,                                                                      ,               
809,RICHARD PIERIS DISTRIBUTORS LTD                   ,               ,0, ,3,NO 310                                            ,HIGH LEVEL ROAD                                   ,NAWINNA MAHARAGAMA                                ,0,                                                                      ,               
810,RICHARD PIERIS DISTRIBUTORS LTD                   ,               ,0, ,3,NO 310                                            ,HIGH LEVEL ROAD                                   ,NAWINNA MAHARAGAMA                                ,0,                                                                      ,               
811,RICHARD PIERIS DISTRIBUTORS LTD                   ,               ,0, ,3,NO 310                                            ,HIGH LEVEL ROAD                                   ,NAWINNA MAHARAGAMA                                ,0,                                                                      ,               
812,CASH SALES - DAMBULLA BRANCH                      ,               ,0, ,3,                                                  ,                                                  ,                                                  ,0,                                                                      ,               
813,HIRDARAMANI FASHIONS (PVT) LTD                    ,               ,0, ,3,"No 400,                                           ",Kandy Road                                        ,Vavuniya                                          ,0,Mr. Mithun Wijayarathna                                               ,               
814,Alpine Clothing (pvt) Ltd                         ,               ,0, ,3,Puttalam Road                                     ,Elawaka                                           ,Nikaweratiya                                      ,0,                                                                      ,               
815,QEENBY LANKA PRINTS (PVT) LTD                     ,               ,0, ,3,"D3, SEPZ                                          ",AVISSAWELLA                                       ,                                                  ,0,B. A. GEETHA UDENI                                                    ,               
816,Show To Show                                      ,               ,0, ,3,Ding Road                                         ,Katunayake                                        ,                                                  ,0,                                                                      ,               
817,Remediumone pvt (ltd)                             ,               ,0, ,3,"No 41/10,                                         ",Dr. Premasiti Kemadasa Mawatha                    ,Colombo 07                                        ,0,Devika De Silva                                                       ,               
818,A R A Fernando                                    ,               ,0, ,3,No 375/c                                          ,Kurana                                            ,Katunayake                                        ,0,                                                                      ,               
819,Asantha Intrajith Rupasinghe                      ,               ,0, ,3,"No 27B,                                           ",Rosmead Place                                     ,Colombo 07                                        ,0,                                                                      ,               
820,WPZ HOLDINGS PRIVATE LIMITED                      ,               ,0, ,3,NO 245/9B                                         ,HILL HOUSE GARDEN                                 ,DEHIWALA                                          ,0,Mr. Zafar Zainudeen                                                   ,               
821,MICRONET GLOBAL SERVICES PVT LTD                  ,               ,0, ,3,"NO 141/7B,                                        ",VAUXHALL STREET                                   ,COLOMBO 02                                        ,0,                                                                      ,               
